id,name
1,Barguna 
2,Barisal 
3,Bhola 
4,Jhalokati 
5,Patuakhali 
6,Pirojpur 
7,Bandarban 
8,Brahmanbaria 
9,Chandpur 
10,Chittagong 
11,Comilla 
12,Cox's Bazar 
13,Feni 
14,Khagrachhari 
15,Lakshmipur 
16,Noakhali 
17,Rangamati 
18,Dhaka 
19,Faridpur 
20,Gazipur 
21,Gopalganj 
22,Kishoreganj 
23,Madaripur 
24,Manikganj 
25,Munshiganj 
26,Narayanganj 
27,Narsingdi 
28,Rajbari 
29,Shariatpur 
30,Tangail 
31,Bagerhat 
32,Chuadanga 
33,Jessore 
34,Jhenaidah 
35,Khulna 
36,Kushtia 
37,Magura 
38,Meherpur 
39,Narail 
40,Satkhira 
41,Jamalpur 
42,Mymensingh 
43,Netrokona 
44,Sherpur 
45,Bogra 
46,Joypurhat 
47,Naogaon 
48,Natore 
49,Chapai Nawabganj 
50,Pabna 
51,Rajshahi 
52,Sirajganj 
53,Dinajpur 
54,Gaibandha 
55,Kurigram 
56,Lalmonirhat 
57,Nilphamari 
58,Panchagarh 
59,Rangpur 
60,Thakurgaon 
61,Habiganj 
62,Moulvibazar 
63,Sunamganj 
64,Sylhet 
